desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
"Aardman Animations, Mobile Pie, Black Smoke Studios",1,725,32,1.92
"Aargle, LLC",1,83,31,0.0
"Aarne ""MekaSkull"" Hunziker",1,1182,228,5.25
Aaron Angert,2,24,2,0.0
Aaron Arcand,1,19,4,0.0
Aaron D.,1,13,20,0.0
Aaron DeVries,1,70,3,0.0
Aaron Mault,1,2,0,0.0
Aaron Oldenburg,1,71,59,13.9
Aaron Saluk,1,0,1,0.0
"Aaron W. Calhoun, Noah W. Calhoun",1,11,1,0.0
Aaron Wise,1,19,8,0.0
Aasura Project,1,9,4,0.0
Aatlantis Code,1,11,10,0.0
Abandoned House Studios,1,75,23,0.0
Abbey Games,3,7951,1802,4.206666666666667
Abbeytek Ltd,1,13,2,0.0
Abdualziz alotaibi,1,2,2,0.0
Abdullah Firat,1,99,11,0.0
Abigail Corfman,1,343,6,3.32
Abnormal Software,2,126,20,0.765
Above and Beyond Technologies,1,836,1120,4.37
Abraham Carreola,1,61,95,6.28
Abrakam Entertainment SA,2,9187,1793,22.8
Abrams Studios,1,215,36,2.2
AbsQual Studio,1,26,11,1.83
Absolut Soft LLC,1,10532,5109,10.2
Absolute Power Game Studio,1,46,25,0.0
Absolutist Ltd.,7,455,248,1.9357142857142857
Absorb Reality,1,160,43,2.02
Absorbed Studios,1,146,91,2.05
Abstract Software Inc.,1,227,187,1.25
AbstractArt,2,3421,521,2.575
Abstraction Games,1,548,367,3.57
"Abstraction Games, The Bitmap Brothers",1,288,138,1.6
"Abstraction Games, WayForward",1,363,166,2.72
Abstractive Works,1,69,47,4.52
Aburasobabiyori,1,114,33,0.95
Abyss Gameworks,1,112,98,4.27
Abyssal Arts Ltd.,1,19,5,0.0
Abyte Entertainment,2,4510,658,12.71
Ac Games,1,5126,8513,151.93
Academic Quarter,1,163,19,0.0
"Acceleroto, Inc.",1,506,55,2.98
Access Games,1,1576,381,4.6
Access Software,5,350,84,7.67
Accidental Queens,2,3250,382,2.9850000000000003
"Accidental Queens, ARTE France",1,210,31,0.0
Acclaim Cheltenham,1,68,59,0.0
Acclaim Studios Teesside,1,619,90,10.02
Accolade,2,334,136,0.185
Accolade Inc.,1,3,1,0.0
"Accolade, Inc",2,86,16,0.3
"Accolade, Inc.",4,260,102,0.6699999999999999
Acerola,6,4677,798,4.95
Acerola Software,1,1,0,0.0
"Achenar Studios, Sad Socket",1,560,77,1.87
Achisoft,1,3,0,0.0
Achpile,3,150,24,0.25
Acid Mines Software UG,1,23,5,0.0
Acid Nerve,2,27791,3990,5.694999999999999
Acid Spy Games,1,155,15,2.07
Acid Wizard Studio,1,20529,1089,5.78
AcidicDuck,1,38,3,0.27
Acido Cinza,1,435,122,4.33
Acke Hallgren,1,4714,261,0.0
Ackk Studios,2,964,382,4.2
Ackmi,1,4,5,0.0
Acram Digital,3,435,75,4.336666666666667
Acrylec Studios,1,20,8,0.0
"Act 3 Games, LLC",1,660,185,2.68
ActaLogic,1,65,14,0.0
Actalogic,5,473,1337,3.72
Actawesome,1,43,4,0.0
"Action Button Entertainment, LLC",1,181,25,0.2
Action Entities,1,48,25,0.0
Action Portal,5,22,56,0.0
Action Squad Studios,1,704,266,5.35
Action Square(STUDIO HG),1,1032,177,7.82
Action Square(Studio HG),1,426,148,1.15
Activision,4,274,56,4.2025
"Actors Theatre of Louisville, Two Scoop Games",1,6,1,0.0
Actoz Soft,1,313,230,1.67
Actplus Studio,1,227,78,0.0
Actual Humans,1,17,0,3.75
Actual Nerds,1,161,5,0.0
"Actually A Game Company, L.L.C",1,44,12,0.0
Actura Studios,1,2,1,0.0
Acureus,1,28294,5381,14.3
Acute Art,1,16,9,4.72
Acute Games,1,426,217,3.68
Acuze Interactives,3,167,294,6.246666666666667
"Acuze Interactives, Winterbyte",1,88,213,0.3
Adam Cs,1,5,1,0.0
Adam DeLease,4,414,295,3.2075
Adam Dubi,1,177,46,10.63
Adam Haase,1,52,2,0.0
Adam John Adkins,1,12,8,0.03
Adam Mowery,1,75,28,2.12
"Adam Saltsman, Robin Arnott",1,132,47,0.0
Adam Spragg,1,838,7,5.82
Adam Stępiński,2,1,1,0.0
Adam Tarnowski,2,66,19,6.935
Adam Thompson,2,36,12,0.0
Adam Waind,1,7,0,0.0
Adam Wells,1,19,2,0.0
Adamvision Studios,8,11879,495,1.2825
Adaptive Game,2,21,4,0.0
Adato Games,1,23,14,0.0
Addictive 247 Games,1,8,1,0.0
Addonius Productions,1,13,0,0.0
Adelante LTD,1,14,13,0.0
Aden Interactive,1,4,4,0.0
Adept Studios GD,1,11,0,0.0
Adham Jaber,2,26,34,1.075
Adi Zhavo,1,3641,368,0.0
"Adil Ahmed, Edgy Games",1,3,1,0.0
Adipson Studio,1,16,4,0.0
Aditya Tajanpure,1,2,2,0.0
Adjective Noun,1,10,7,0.0
Adom Huber,1,8,1,0.0
Adrenasoft Studios,1,64,20,0.0
"Adriaan de Jongh, Sylvain Tegroeg",1,8952,309,3.35
Adrian Domagalski,1,9,24,0.0
Adrian Ubiorski,1,20,8,0.0
Adrián Corbalán,1,25,8,0.0
AdroVGames,3,1331,558,5.253333333333333
Aduge Studio,1,37,10,3.07
Advent RPG,1,7,1,0.0
Adventure Beard,1,2,0,0.0
Adventure Islands,3,298,12,0.0
Adventurepro Games LLC,1,1064,102,34.53
Adventurer's Tavern,1,149,44,0.0
Aegon Games Ltd,3,191,94,0.7433333333333333
Aemaeth Monster,1,0,1,0.0
Aeon Dream Studios,1,325,71,0.98
Aera Studios,1,14,4,1.62
Aerial_Knight,1,109,28,1.37
Aerie Digital,1,179,20,31.8
Aerilon Studios,1,512,67,2.48
Aerilys,1,3,1,0.0
Aero Games,2,282,109,0.0
AeroLab Studios,1,42,15,5.1
Aerolab Studios LTD,1,34,69,0.48
Aerolito,1,23,5,0.0
Aeromir,1,219,66,51.65
Aesir Interactive,3,15216,4350,4.843333333333334
Aestronauts,1,129,34,0.0
Aeternum Game Studios S.L,1,1339,417,3.4
Aether Studios,1,34357,1469,27.0
Aetheric Games,3,370,88,0.23
"Afeel inc, Magic Cube",1,22,4,0.0
Affable Games,1,54,13,0.0
Affility,1,31,2,0.0
Affliction Networks,1,88,28,23.17
Affordable Cat,1,25,11,0.0
Affray Interactive,1,10178,2500,6.82
Afil Games,2,59,10,0.0
Afrobeast Games,1,71,2,3.17
Afterburn,1,1771,52,3.08
Afterburner Studios,2,4403,568,4.775
Afterlife Games,1,1,1,0.0
Aftermath Media,1,133,31,3.08
Afterthought LLC,1,77185,17619,101.88
Afterthought Studios,4,260,65,21.645
Agafonoff,4,7267,1861,1.8699999999999999
Agami Games LLC,1,9,2,0.0
Agar3s,1,33,6,5.17
Agaricus Games,1,5,1,0.0
Agate,2,263,187,2.5
Agelvik,2,171,34,0.0
Ageod,7,1319,463,1.682857142857143
"Ageod, HQ",1,32,17,0.82
Aggro Crab,1,3376,342,5.27
AggroBirdGK,1,30,11,0.0
Aggroblakh,2,145,64,8.505
Agharta Studio,1,453,82,14.27
Aghayeva and Ko s.r.o.,1,36,25,0.0
Agile Softworks AB,1,1,1,0.0
"Agostinho Dias, Ricardo Reis",1,93,52,0.0
Agrostemma,1,73,25,2.63
Ahlman Game Studio,1,15,3,0.0
Ahlman Mansion Team,1,19,5,0.0
Ahndong Studio,1,5,8,0.0
Aiaz Marx,2,71,18,47.625
