desenvolvedor,total_jogos,avaliacoes_positivas,avaliacoes_negativas,tempo_medio_jogado
"Aleksander Vargas, True Nightmare, Gummi Space Jam",1,115,21,0.0
Aleksandr Golovkin,4,3019,826,35.6625
"Aleksandr Soldatov, Leonid Kozhushko",1,646,76,0.55
Aleksandr Turkin,1,111,12,0.0
Alekseev,2,142,93,4.3100000000000005
Aleksei Milchakov,1,36,43,12.43
Aleksei Yarovozov,1,7,2,0.0
Aleksey Abramenko,1,1850,221,1.38
Aleksey Izimov,1,11,5,0.0
"Aleksi Rajamäki, Matias Rajamäki",1,16,1,0.0
Aleph=Null,1,1,0,0.0
Alersteam,1,243,80,4.8
Alessandro Guzzo,2,911,259,3.4250000000000003
Alessandro Roberti,1,2063,308,24.3
Alex,2,115,45,0.0
Alex C. Grey,1,13,0,0.0
Alex Carpenter,2,599,14,0.0
Alex Francois,1,118,21,1.8
Alex Hall,1,30,8,2.67
Alex Hanson-White,1,24,9,2.57
Alex Luna,1,25,9,0.0
Alex Meng,1,33,23,0.0
Alex Olinkiewicz,1,449,69,0.0
Alex Piola,1,899,293,2.12
Alex Rose,1,102,69,4.7
Alex Sk Game Studio,1,4,2,0.0
Alex Thomas,1,76,77,11.38
Alex V,1,4,3,0.0
Alex Williams,2,57,57,0.715
Alex Zhang,1,422,265,6.78
AlexHoratio,1,6,3,0.0
"Alex_redmiau, Jolabide.com",1,59,3,0.0
Alexander Bazhenov,1,222,56,0.85
Alexander Belik,1,7,0,0.0
"Alexander Bogdanov, Alexandrina Svitsyna",1,75,13,0.0
Alexander Bruce,1,16269,846,5.65
Alexander Cirac Antio,1,9,2,0.0
Alexander Clark,1,52,9,0.0
Alexander Feinstein,1,20,1,0.0
Alexander Goodwin,2,204,133,0.81
"Alexander Gromyko, GG KEY STUDIOS",1,1583,206,4.43
"Alexander Guo, Emile Savard",1,29,14,0.0
Alexander Lahti,1,28,0,0.0
Alexander Mirdzveli,1,114,43,14.43
Alexander Sablin,2,41,20,0.0
Alexander Tavintsev,1,24,6,4.9
"Alexander Van den Bulck, Harry Lane",1,14,0,0.0
Alexander Voidoc,2,25,1,0.0
"Alexander Žolnai, HQK Group",1,5,0,0.0
Alexandr Bondarenko,1,20,6,0.0
Alexandr Polutov,1,9,4,0.0
AlexandrandRoman,1,1,2,0.0
Alexandre Beaudoin,1,5,1,0.0
Alexandre Martins Pereira,1,2,0,0.0
Alexandre Yoshinaga,1,14,1,0.0
"Alexandru Duta, Victor E. Blaga",1,35,9,0.0
"Alexey Bokulev, Sergei Klimov, Charlie Oscar Lima Tango Interactive Entertainment",1,34,8,0.33
"Alexey Bokulev, Snowbird Games",1,354,73,28.9
"Alexey Davydov, Sergey Dvoynikov, Timofey Shargorodskiy, Flazm",1,2964,339,5.42
"Alexey Khazov, Cristian Ionescu, Lars van Dorenvanck, Brandon van Doorn, Joran Vergoessen, Admir Leka",1,135,84,3.48
Alexey Suslin,1,99,28,0.0
Alexis Angely,1,14,1,0.0
"Alexis Hernandez, Gökhan Unalan, Gaëtan Galati, Ludus Académie",1,9,0,0.0
Alexis Salazar,1,171,2,0.0
AlexoFalco,1,5,1,0.0
Alfa Dynasty,2,14,31,0.0
Alfred Lam,1,51,12,0.0
Algorocks,1,143,121,3.83
"Algorocks, Simpleton",1,24,8,0.0
Ali Eslami,1,22,2,0.0
Ali Kaan BAŞHAN,1,17,5,0.0
Ali Soltanian Fard Jahromi,2,17,4,0.0
Aliasworlds Entertainment,1,97,31,2.87
"Aliasworlds, Amegami, Rionix, Melesta",1,54,19,0.0
Alice & Smith,3,2022,215,11.443333333333333
Alice &amp; Smith,1,717,348,0.6
Alice Halley,1,11,0,0.0
Alice Langley,1,3,0,0.0
Alice Nowak,1,92,6,0.0
Alien Finger,1,4,8,0.0
Alien Jellyfish,1,180,55,4.43
Alien Leaf Games,1,8,7,0.0
Alien Octopus Studio,2,4,1,0.0
Alien Pixel Studios,3,2325,259,2.6999999999999997
Aliens Developers,1,65,34,0.0
AliensGames,1,1,2,0.0
Alientrap,7,10692,1657,4.364285714285714
Aligned Games,3,67,32,0.0
AlikArt Studio,1,55,36,0.0
AlimoliStudio,1,2,0,0.0
Alina Digital,2,62,31,0.06
Alioth,1,144,45,0.48
"Alircari, Gemini Stars Games",1,12,27,0.0
Alister Software,2,649,302,4.605
AliveGameStudio,2,750,95,1.305
Alix,1,62,21,0.75
Alkame Games,1,37,20,0.75
Alkemi,1,214,55,6.03
Alkinoy,1,36,6,0.0
All Parts Connected,1,281,49,5.8
All Saints Gaming,1,4,0,0.0
All Seeing Eye Games,1,3516,396,1.32
All Those Moments,1,144,42,0.0
All Yes Good,1,1048,93,7.6
All in! Games,1,540,229,1.63
AllMySkyStudio,1,15,12,0.0
"Allaith Hammed ""ZAX""​",1,29,4,0.08
Allen Games,2,31,26,0.0
Allgraf,1,419,449,6.07
Allicorn Games,1,197,113,3.53
Allied Games Inc.,1,6,8,0.0
Allosaurus,1,18,29,0.0
AlloyStove,1,5,2,0.0
Ally Productions LLC,1,2,0,0.0
Allyson de Souza Bacon,1,232,172,1.08
Almighty Games,4,2103,280,1.71
Almost Human Games,2,9453,754,9.83
Almost Infinity Games LLC,1,8,0,0.0
Almost Joe,1,3,1,0.0
Alon Cohen,1,99,55,0.0
Alon Zubina,1,228,61,4.42
Alper Gonen,1,81,308,0.0
Alper Tüccar,1,19,5,0.0
Alpha Blend Interactive,1,1905,451,1.63
Alpha Lyrae,1,10,7,0.0
Alpha Strike Games Limited,1,9,2,0.0
Alpha Wave Entertainment,1,165,87,6.1
AlphaNuts,1,62,26,1.48
AlphaSoft LLC,1,12263,5314,19.33
Alphatik Inc,1,37,46,0.0
Alpheratz*,2,98,40,1.015
Alt Shift,1,3664,603,14.87
Altai Game Studio,1,69,78,0.8
Altair Game,1,21,10,0.0
Altaire,1,222,81,2.33
Altar Games,3,2489,346,12.843333333333334
Altar Interactive,1,240,66,9.5
Alter Games,1,6728,1458,12.12
AlterVerse Inc.,1,11,6,0.0
Altered Matter,1,313,117,2.6
Alterego Games,3,213,63,1.9266666666666667
Alterindie LLC,1,15,6,0.0
Alternativa Game Ltd.,1,4041,2515,4.35
Alternative Dreams,1,22,19,16.17
Alternative Software Ltd,5,215,128,1.56
"Alternative Software Ltd, Involution Team",1,25,9,0.0
Altfuture,2,7512,319,15.030000000000001
Altope Interactive,1,2,2,0.0
"AltspaceVR, Inc.",1,430,172,7.1
Aluba Van+,1,13720,1000,11.32
Always & Forever Computer Entertainment,1,11,2,0.0
Alwin Joshy Joseph,1,5,3,0.0
Alyson Thiago Lopes,1,12,1,0.0
"Alzan Studios, LLC",1,631,73,1.43
Amamori Lab,1,33,12,0.0
Amanda Bedard,1,8,2,0.0
Amanita Design,8,44670,3222,2.76875
"Amaranth Games, LLC",4,383,114,1.325
Amaterasu Software,13,2344,1589,4.985384615384616
"Amaury Hyde, Arnaud Magous",1,14,4,0.0
Amayadori Development,1,2,2,0.0
Amazon Games,1,196798,90080,165.5
Amber Eye Studio,1,41,8,0.0
Ambiera,4,346,240,1.3375
Ameet Sharma,1,16,3,0.0
Amegami,1,84,26,4.07
Amendment One Games,1,12,0,0.0
Amends Team,1,23,5,0.0
Ameshiko,1,62,7,0.0
Amethyst Quarter,1,31,9,0.0
Ametist studio,1,307,49,3.72
Amfich,2,28,17,0.0
Amhardcore,1,18,4,0.0
Amicable Animal,1,181,13,12.62
Amigo VR,1,22,27,0.0
Amigo VR Studio,1,26,24,0.0
Amilton Neves,1,32,10,5.35
Amistech Games,1,86445,4949,47.82
Ammobox Studios,1,531,188,3.62
Ammonite Design Studios Ltd,5,5,7,0.0
"Amnon Levi, Ben Chen, Bar Alon, Ofir Green",1,44,1,0.0
Among Giants,1,119,83,2.05
Amonga99,2,71,23,0.0
Amortiz Games,1,89,18,0.0
Ampersand Game Studios,1,1,1,0.0
Amplify Creations,1,138,129,5.33
Amrita Studio,1,53,14,0.0
"Amy Li, Mitchell Shannon, Morgan Wesemann, Stacie McLaury, Tim Arterbury, Trystan Jasperson",1,20,8,0.0
An Open Ben,1,474,105,1.87
AnRaEl,1,131,9,3.15
Analog Casual Studios,1,25,3,0.0
Analog Joker LLC,1,36,5,0.0
Anamik Majumdar,14,103,119,0.4057142857142857
Anarchy Enterprises,9,1038,464,2.2711111111111113
Anarchy Games,1,595,159,28.65
Anarchy Interactive,1,23,13,0.0
Anarkis Gaming,2,235,88,131.69
Anarteam,1,666,55,1.68
Anate Studio,3,945,217,2.69
"Anatola Howard, Duncan Cross",1,110,3,0.0
Anatoliy Loginovskikh,13,4775,700,1.6415384615384616
"Anatoliy Loginovskikh, Catherine Svyataya",1,393,39,1.17
"Anatoliy Loginovskikh, Drop_Dead_Fred",1,186,68,0.02
"Anatoliy Loginovskikh, Igor Shalimov",1,154,225,0.0
"Anatoliy Loginovskikh, Khud0",1,410,73,0.12
"Anatoliy Loginovskikh, Phenechka",1,218,64,0.0
"Anatoliy Loginovskikh, Аlexandr Telminov",6,4571,273,2.8049999999999997
Anatoliy Sidorov,1,18,0,0.0
Anatoly Konstantinov,2,147,47,1.1
Anawiki Games,4,114,27,0.0
"Anchora Games, Dream Harvesters",1,45,39,0.58
Ancient Forge,1,5644,1398,13.73
Ancient Games,1,24,16,0.0
Ancient War Studios,1,80,49,0.0
AndeoTEAM,1,100,64,2.98
Anderson Marques,1,5,3,0.0
Andonis Gaja,1,9,7,0.0
Andorf Games,1,2,0,0.0
Andrade Games,2,181,47,1.03
Andre Monteiro,1,209,52,5.65
Andre Themistocles,1,2,0,0.0
Andrea Demetrio,1,195,7,0.0
Andreas Britten,1,38,3,7.88
Andreas Georgiou,1,61,22,0.0
Andreas Hager Gaming,1,517,142,1.0
Andreas Otten,1,0,1,0.0
Andreev Worlds,1,57,39,0.0
"Andreev Worlds, Gamesforgames",3,116,48,0.0
"Andrei Cretu, Giacomo Autili, Tomer Barnea",1,771,83,0.0
Andrei Fomin,1,46,2,0.0
Andrei Ivashentsev,1,674,221,3.4
Andreil Game,1,4,1,0.0
Andres Cavallin,1,19,12,0.0
"Andrew Bates, Craig Bentick, Nolan Cunningham, Onomis",1,812,154,2.8
Andrew Bykov,1,5,1,0.0
Andrew G. Schneider,1,77,4,0.0
Andrew Gardner,1,1,0,0.0
Andrew Grbac,1,2,5,0.0
Andrew Heymann,1,1,0,0.0
Andrew Higgins,1,44,16,0.0
"Andrew Katz, Emi Schaufeld",1,84,8,0.0
Andrew Morrish,2,1967,179,6.41
Andrew Nutter666 Jaggar,1,26,2,0.0
"Andrew Nutter666 Jaggar, George Dutton",1,3,0,0.0
Andrew R.,1,28,2,0.0
Andrew Rodenhiser,1,90,26,0.0
Andrew Rowe,1,41,25,3.8
Andrew Ryan Henke,1,123,12,0.0
"Andrew Ryan Henke, Adam Dover",1,131,14,160.37
Andrew Simon Thomas LLC,2,16,5,0.0
Andrew Smith,1,2899,382,1.72
"Andrew Teo, Adam Teo",1,536,124,6.67
Andrew Willman,2,2120,170,4.45
"AndrewDrumov, Sanke Berdochan",1,134,231,3.53
"Andrii Lazariev, Eugene Nesterovych",1,20,15,0.0
Andriy Bychkovskyi,1,260,20,0.72
Andrzej Jozenkow,1,3,1,0.0
Andrés Borghi,1,294,10,9.57
Andy Church,1,1962,232,0.0
Andy Howard Games,1,37,40,0.0
Andy Imm,1,24,8,3.4
Andy Jurko,1,8,0,0.0
Andy Law,1,2419,330,184.38
Andy Makes,1,1205,166,3.08
Andy Schmitt,1,112,17,1.12
Andy Sztark,2,1340,462,11.425
AndyK,1,10,0,0.0
AndyLaw,1,189,423,0.43
Andymente,1,84,20,0.0
AneaGames,2,271,124,4.6850000000000005
Anemoessa,1,2,0,0.0
Anemona Games,1,2,1,0.0
"Angad Matharoo, Gabriel Larocque",1,5,1,0.0
Angel Carriola,1,35,15,3.6
Angel T,1,12,11,0.0
AngelRDev,1,10,2,0.0
Angela Game,1,1377,618,22.65
Angela He,2,16778,668,0.615
Angelo Parodi,1,6,1,0.0
"Angels Blue Digital Entertainment, DigitalEZ",2,3540,209,3.31
"Angels Blue Digital Entertainment, Ladomu",1,536,20,1.57
Angelus,1,14,4,0.0
Angry Bunny,1,187,85,0.0
Angry Cat Studios,1,2,6,0.0
Angry Demon Studio,2,2668,447,3.625
Angry Mob Games,2,949,296,1.7799999999999998
Angry Rabbit Studios,1,122,61,0.0
Angry games,3,202,89,1.7566666666666666
Anguis Game Studio,1,94,116,8.05
"Ani4Bio  Animated, Isiflix Prod.",1,1,2,0.0
"Ani4Bio Animated, Isiflix Prod.",1,2,1,0.0
"Aniki, Male Union ♂",1,7930,697,2.4
Anima Games,2,5,5,0.0
Anima Locus,1,6,15,4.92
Anima Project,2,602,268,3.33
Animafest Workshop 2019,1,8,7,0.0
Animal Herb,1,307,14,4.33
Animal Mouth,1,36,7,0.0
Animal Uprising,1,11925,220,9.75
Animalle Studio,1,23,0,0.0
Animallica Games Studio,1,635,268,7.42
Animas Games,2,8,4,0.0
"Animatic Vision, Dead Blue Friends",1,103,3,0.0
Animation Arts,6,1345,264,17.080000000000002
Animation Arts GmbH,1,108,119,18.5
Animation F/X,1,37,18,0.0
Anime squad,1,32,17,0.0
AnimicGame,2,84,14,0.0
Animu Game,3,3200,616,2.066666666666667
Animus Interactive Inc,1,88,75,4.62
Animvs Game Studio,1,60,21,0.0
Animyst Games,1,375,64,0.0
Anino Games,1,11,0,0.0
Anisoptera Games,1,3727,233,25.57
Ankaar Productions,1,105,10,0.0
Ankake Spa,1,1133,87,4.88
Ankama Games,1,429,65,3.73
Ankama Studio,4,8749,2875,12.379999999999999
Ankokumarimo,1,122,35,0.0
Ankor Studio,1,4,0,0.0
Annonymous,1,18,0,0.0
Anoko Studio,1,0,4,0.0
Anomaly Games,1,733,220,2.58
Anoman Studio,1,5,1,5.7
Anomic Games,1,53,10,0.0
Anonymoose Games,1,7,5,0.0
Anonymous,1,20,0,0.0
Another Axiom Inc.,1,64966,6197,10.22
Another Circus,1,39,3,0.0
Another Reality,1,27,39,0.45
Another Story,1,1638,281,4.97
Another Yeti,2,105,13,1.315
AnotherIndieGameDev,1,4,0,0.0
Anothink,1,52,108,0.0
Anothy,1,1,0,0.0
Anshar Studios,3,1545,510,3.9533333333333336
Ansimuz Games,1,137,50,0.13
Ant Workshop Ltd,1,72,9,8.12
Ant.Karlov Games,1,2895,359,5.15
Antab Studio,2,144,47,1.19
Antagonist,1,1126,464,2.62
"Antanas Marcelionis, Renė Petrulienė",1,1631,468,3.2
"Antaria, LLC",1,213,125,6.58
Anteater Games,1,1110,421,4.82
Anthony Flack,1,500,52,9.65
Anthony Staines,1,30,14,0.0
Anthony Wu,1,2,6,0.0
Anti Crunch Studios,1,3,0,0.0
Anti Gravity Game Studios,1,91,71,0.22
Anti-Ded GameDev,2,67,37,2.625
Anti-Gravity Bunny,1,15,1,0.0
"Antimatter Games, Tripwire Interactive",1,49952,7611,43.08
Antiquity Studio,1,16,1,0.0
Antispace Studios,1,11,20,0.0
Antizero company,4,249,61,1.1375
Antler Interactive,2,121,33,1.06
Anton Kryukov,1,105,9,0.0
Anton Nersesov,1,7,1,0.0
Anton Pauli,1,518,48,0.0
Anton Pushkarev,1,94,89,0.92
Anton Riot and Co,1,279,49,3.17
Antonio Freyre,1,155,16,0.08
Antonio José Corrêa,1,3,0,0.0
Antonio Renna,3,1110,722,1.6466666666666667
"Antti A. Luostarinen, Emil Nilimaa, Niklas Lindroos, Matti A. Virtanen, Riku-Ville Mäkelä, Lauri Holmas, Polar Night Software Sp. z o.o.",1,149,26,1.53
Antti Juotasniemi,1,8,9,0.0
Antti Vaihia,1,37,21,0.25
Antuan Johnson,1,83,97,0.0
AnukenDev,1,21329,937,23.73
"Anuman Interactive / Microids, Koalabs",1,1940,584,24.05
Anvate Games,4,631,108,2.92
Anvelopa,1,4,1,0.0
"Anvil Drop, LLC",1,28,7,0.1
Anvil Game Studios,1,22540,2575,33.65
Anvil-Soft,1,147,59,1.6
AnvilBird Interactive,1,105,29,0.0
Anvio,1,82,39,0.0
Anxious Software Inc,1,0,2,0.0
Anya Segarane,1,371,52,4.33
Anyland + Manyland,2,653,61,3.5
Aoca Game Lab,1,604,89,1.5
Apathus Software,1,9,2,0.0
"ApathyWorks, LLC",1,36,13,0.0
Ape Apps,2,235,22,0.0
Ape Law,1,266,113,2.33
Ape Man Robot,1,106,28,0.2
Ape Marina,1,119,36,1.83
Ape Tribe Games,1,115,36,0.83
Apeirogon Games,1,40,14,0.32
Apeiron,3,975,340,2.17
AplayStudio,1,5,4,0.0
"Apocoplay LLC, Ludeme Games, Coreedge Inc",1,53,58,0.35
Apog Labs,1,6433,1251,28.33
Apogee Entertainment,4,300,61,0.005
Apogee Software,4,571,84,2.2824999999999998
AppChu Indie Games,1,17,4,0.0
AppFactoryHaru-Ni,1,6,8,0.0
AppGeneration,1,6,2,0.0
Apparition Games,1,176,8,0.63
Appeal Studio,1,22,6,4.23
Appeal Studios,2,854,288,1.09
"Appeal Studios, Balio Studio",1,281,266,2.9
Applava,2,2119,419,4.34
Apple Cider,1,172,6,0.0
AppleCoffee,1,214,47,0.32
Applepine Games,1,21,4,0.0
Appliks Apps Studios,1,146,110,2.42
Applimazing,1,461,64,4.2
Applique,2,4015,109,263.015
Applykat,2,13,22,0.0
Appmania/i-Free,1,40,43,0.52
Appnori Inc.,1,625,114,2.95
Appnormals Team,1,371,165,4.97
Appsolutely Studios,1,24,41,0.0
Appvator Interactive,1,4,3,0.0
Appy Monkeys Software Pvt. Ltd.,1,13,2,0.0
AppyArt Games,1,38,30,4.53
Apus Software,2,270,106,0.65
"Apus Software, Three Donkeys LLC",1,302,44,45.63
AquaBomber,1,1,0,0.0
AquaStudios,1,3,1,0.0
Aquinas Games,1,4,0,0.0
Aquiris Game Studio,1,5348,1719,15.03
Ara Interactive,1,44,39,0.22
Arachnid Games,2,1241,581,2.8
Arai Koh Create Office,2,327,65,1.1
Araknumia Software,1,2,1,0.0
Aratog LLC,2,273,130,2.865
Arbatskii Anatolii,1,19,7,0.0
Arberth Studios,1,91,56,0.63
Arbitrary Metric,1,1450,501,1.07
Arc System Works,25,161716,18913,9.855599999999999
"Arc System Works, APLUS Co., Ltd.",1,1382,561,6.13
"Arc System Works, DotEmu",1,145,75,3.78
"Arc System Works, TOYBOX Inc.",2,647,383,5.635
ArcWillow,1,2,0,0.0
Arcade Distillery,4,66,41,0.0
Arcade Injection,1,44,13,0.0
Arcade Oven,1,274,170,3.55
Arcade Theory,1,22,25,0.0
Arcade Zone,2,92,65,3.23
Arcadia,2,17,1,0.0
ArcadiaXR,1,20,11,0.0
Arcane Bay Labs,2,14,8,0.0
Arcane Raise,1,434,320,3.4
Arcani Interactive,1,1,1,0.0
Arcanum Team,1,337,94,4.8
Arcen Games,9,4605,1311,2.852222222222222
Archeologists,1,0,10,0.0
Archetype Global,1,12,48,3.12
Archetype Studios,1,470,377,9.55
Archiact,2,317,75,0.515
Archive Entertainment,3,2667,1790,0.65
Archor Wright,6,50,25,0.0
Archpray Inc.,1,4530,404,3.93
Arclight Creations,1,714,179,5.52
Arctic Anteater,1,36,46,10.22
Arctic Fox Game Studios,1,25,8,0.0
Arctic Hazard Game Studio a/s,1,180,153,0.28
Arctic Sky Games,1,11,2,0.0
Arctic Studio,1,159,130,1.05
Arctic Theory,1,28,24,0.0
ArcticFox223,1,21,9,0.0
Arcturus,1,9,2,0.0
Arcupion Art,2,104,126,0.25
Ardoetia Productions,1,4,1,0.0
Ardyn,1,2,0,0.0
Area 1,1,1,1,0.0
Area64 Productions,1,2,0,0.0
Area88 Games,1,0,3,0.0
ArenaDev,1,133,17,0.0
ArenaNet®,1,37,3,0.0
Areo Gaming,1,126,87,0.53
Ares Dragonis,2,1364,548,0.935
"Ares Game Co., Ltd.",1,85,409,1.52
Areta Watanabe,1,6,2,0.0
Argali Entertainment,1,66,37,0.0
"Argali Entertainment, Wonderland",1,382,42,2.98
Argent Games,2,802,50,1.135
Arglefumph,1,56,3,0.0
Argo Games,1,7,42,0.0
Argonautics,1,202,75,0.0
"Argonauts Interactive, Collectif Nemoïd",1,156,97,0.42
Argonwood,1,661,255,7.7
Argus Games,3,299,153,0.4833333333333334
Aric Morrow,1,2,3,0.0
Aridide Production,1,4,1,0.0
Ariel Spry,1,2,3,0.0
Arif Games,1,211,13,0.0
"Arigatonasu, GHS Game",1,38,39,0.0
"Arik Games, Edo Brenes",1,114,24,1.25
Arimac Lanka Private Limited,1,135,46,0.0
Arise,1,41,34,0.02
Aristotelis Giannakopoulos,1,22,13,0.23
"Arjan van Meerten, House of Secrets",1,34,13,0.12
Arjuna Games,1,11,3,0.0
ArkHouse,2,72,30,1.485
Arkane Studios,8,228105,23398,11.64
"Arkane Studios, Machine Games",1,189,191,0.25
Arkavi Studios,1,78,316,2.2
Arkedo,2,3317,601,2.43
Arkenstone Games,1,1,8,0.0
Arkhamsoft,1,2,0,0.0
Arkhouse Telegraph,1,12,10,0.0
Arkraptor,1,3,6,0.0
Arkuda Inc.,1,75,17,0.0
"Arli Tuominen, Amelie Berthome, Joël Cancela Vaz, Kallan Dautriche, Malo Hilliard, Corentin Lheriaud, Bastien Ollivo, Arthur Pernot, Maxime Pointet, Fabien Quibreteau, Arttu Tuovinen, Augusto Gómez Eguíluz, Niall McShane, Michael Callagh",1,18,5,0.13
Arm and Leg Studios,1,19,6,0.0
"Arman Nobari, Vault Labs",1,23,5,0.0
Armarti,1,4,0,0.0
Armatur Games,2,94,53,0.0
"Armature Studio, LLC",1,1178,1606,3.5
"Armature Studio, LLC, Comcept",1,962,575,7.37
Armin Rigo,2,34,3,0.0
Armitage Games,1,114,35,0.47
Armnomads LLC,1,89,36,4.35
Armor Games Studios,1,198,32,2.77
"Arnaud De Bock, Rémi Forcadell, Alan Zucconi, Calum Bowen",1,9576,425,3.63
Arrible,1,11,9,0.0
Arrogant Pixel,1,71,4,8.67
Arrogant Pixel LTD,1,36,2,0.0
Arrow Games,1,52,8,0.0
Arrowhead Game Studios,3,63517,9251,10.139999999999999
Arrowiz,2,1630,381,6.33
Ars Creativa,1,17,27,0.18
Ars Goetia,1,392,56,8.8
"Arsi ""Hakita"" Patala",1,165867,3884,30.77
"Art Co. Ltd, PQube",1,37,29,0.08
Art Games,1,59,20,4.08
Art Games Studio S.A.,1,305,98,1.9
Art Of Adventures,5,15,37,0.0
Art in Heart,2,1163,285,1.52
ArtPlay,1,36999,2486,20.57
ArtVostok,1,207,23,0.0
Artalasky,2,178,115,0.8400000000000001
Artdink,1,1569,397,16.73
"Artech Digital Entertainment, Ltd.",1,3,0,0.0
"Artech Digital Entertainments, Inc, Accolade, Inc",1,1,0,0.0
Artech Studios,1,60,31,7.17
Artefact Assembly,1,4,0,0.0
Artefacts Studio,10,41556,7731,7.63
Artem Kotov,2,195,37,3.765
Artematica Entertainment,1,89,109,0.03
Artemis Computer Technologies,1,2,0,0.0
Artepi Corporation,2,29,38,0.0
Artery Games,2,1363,302,0.875
Artic Wolf Games,1,10,4,0.0
Artifex Mundi,17,15970,1921,4.088823529411765
Artifice Studio,2,1811,283,3.68
Artificer Cascadia,1,7,3,0.0
Artificial Worlds,1,21,2,0.0
Artii Games LLC,1,59,6,0.0
Artisan Studios,2,976,358,6.675
"Artisiti, Studio Vrtinec",1,11,18,0.02
Artists Entertainment,1,85,27,1.0
"Artists Entertainment, Nutty Wizards",1,37,11,0.0
"Artix Entertainment, LLC",1,7584,1702,21.65
Artless Games,2,723,74,4.06
Artnumeris,1,24,82,0.07
Artogon,2,61,7,0.0
"Artogon, Jetdogs Studios",1,222,155,20.28
Artplant,2,562,225,37.95
"Arttu Tuovinen, Alan Bourhis, Michael Callaghan",2,38,26,0.2
Artur Berkowski Berobasket,1,23,3,0.0
"Artur Games, Music by Darkman007",1,688,110,2.72
Artur Mandas,1,37,51,2.65
Artur Petrov,1,1,0,0.0
Artur Rezende,10,227,93,0.58
Arturo Buschmann,1,14,0,0.0
Artyom Laletin,1,57,21,0.55
"Arvi Teikari, Roope Mäkinen",1,1228,242,4.83
Arvur,1,21,22,0.07
Arvydas Žemaitis,1,114,61,0.0
Arzola's,2,944,66,2.52
Asakiyumemishi,2,316,78,3.125
Asantee Games,1,1376,79,0.0
Ascanio Entertainment,1,96,35,3.72
Ascaron Entertainment ltd.,4,1814,496,11.635
"Ascend Digitally, Alejandro Navarro",1,39,8,0.0
Ascendancy Games,1,14,3,0.0
Ascendence Studios,1,10,15,0.0
"Asephy, Dementori, Jchoco",1,1016,33,0.0
Aserisoft,1,8,6,0.0
Asgar Knights,2,439,100,10.934999999999999
"Asger Heinricy, Juan Sevenster, Naga Lalith Shashank Jonnabhotla, Daniel Escobar, Ada Grünbaum, Ashley Wright, Aidan Alan Wright, Esam Din, Alexander Lindgren",1,0,1,0.0
Ash & Patch Games,1,2,0,0.0
Ash Game Studio,1,182,48,0.07
Ash and Rust Studios,1,43,14,0.22
Ashdar Games,1,621,166,3.07
"Ashkandi, Truthkey",1,225,59,0.0
Ashley Moore,1,1,0,0.0
"Ashley Roesler, Cody Dowell, Weston Straw, Ashton Damrel",1,10,3,0.0
AshumArcade,1,12,0,0.0
AsicxArt,4,17638,982,18.8075
Askar Lutfrakhmanov,1,0,2,0.0
Askiisoft,1,69672,1397,7.13
Aslan Game Studio,2,143,51,0.0
Asmodee Digital,1,408,263,2.85
Asmodev,2,77,8,0.04
"Asobism.Co.,Ltd",1,1497,159,16.48
Asobo Studio,3,111865,18049,66.53666666666666
"Asobo Studio, Hip Games",1,147,118,2.85
Ason,1,98,53,0.0
Aspyr,3,2325,502,2.066666666666667
Aspyr Studios,1,4692,2696,5.43
Assemble Entertainment,2,277,95,5.175
"Assemble Entertainment, High Voltage Software",1,567,158,2.77
"Assemble Entertainment, Sierra Entertainment",5,458,144,0.628
"Assemble Entertainment, Sierra Entertainment, N-Fusion Interactive",1,220,75,0.15
Asset Flip Studio,2,90,119,2.24
"Asteristic Game Studio, Anthony Septim",1,2550,258,4.23
Asteroid Base,1,3595,271,5.35
Asteroid Game Studio,2,1279,175,6.365
Asteroid Lab,1,2906,387,6.1
Astonia Reborn,1,90,49,0.0
Astral Candle,1,5,1,0.0
Astralax,1,14,3,0.0
Astralis Games,2,411,183,0.0
Astravelari LLC,1,192,41,0.0
Astrobot,1,4,3,0.0
Astrodition Development,1,2,1,0.0
Astrofish Games,1,24,9,0.0
Astroknight Games,1,20,0,0.0
Astrolabe Interactive Inc.,1,31,6,0.0
Astronomic Games,12,1135,530,2.5233333333333334
Asylum Entertainment Inc.,1,332,1810,1.75
Asylum entertainment,1,115,49,0.02
Asymmetric,1,9536,222,15.3
AtGames,1,7,8,0.0
"Ata Türkoğlu, Canberk Demir",1,142,46,1.68
Atahan Öztürk,1,8,4,0.0
Atansoft,1,13,2,0.0
Atapki,3,124,120,0.9666666666666668
Atarei,1,4,0,0.0
Ataverti,2,47,20,0.0
Ateam Entertainment Inc.,1,811,278,143.42
Ategig,1,160,16,0.0
Atelier 801,4,28150,4604,15.18
Atelier ATIC,1,3,0,0.0
Atelier Choice,1,257,34,6.82
Aterdux Entertainment,3,1550,586,12.666666666666666
Aternis Level 0,1,25,66,0.0
Athena Works,1,3446,481,3.42
"Atixx, ClorithStudio",1,37,13,4.55
"Atlas V, Novelab, Google Arts &amp; Culture",1,142,9,0.0
"Atlas, Daz",1,151,77,0.0
"Atmos Games, LLC",1,2255,271,3.03
"Atmos Games, LLC, Serenity Forge",1,799,125,4.35
Atmosphere Entertainment Studios,1,6,48,5.6
Atom Republic,1,172,281,0.45
Atom Void,1,320,23,15.32
Atom studio,1,2,2,0.0
AtomTeam,2,12428,2647,36.175
