data_lancamento,total_jogos,jogadores_simultaneos,avaliacoes_totais,preco_medio
2012-06-26,1,22,5614,19.99
2012-06-27,1,0,8585,0.0
2012-07-02,2,2,16489,0.0
2012-07-04,1,106,9364,9.99
2012-07-05,1,16,3532,5.99
2012-07-09,1,0,310,4.99
2012-07-12,1,1,4808,14.99
2012-07-24,2,146,16115,24.990000000000002
2012-07-25,1,1,547,14.99
2012-07-26,1,0,664,9.99
2012-07-27,1,0,507,4.99
2012-07-30,1,34,19288,14.99
2012-07-31,2,0,2383,9.995
2012-08-01,2,84,27482,14.989999999999998
2012-08-02,3,1,1411,0.0
2012-08-03,1,0,804,0.99
2012-08-06,3,25,13743,6.989999999999999
2012-08-07,1,0,59,9.99
2012-08-08,1,0,462,9.99
2012-08-09,2,8092,14615,0.62
2012-08-13,1,2,1152,14.99
2012-08-14,3,5,2200,4.156666666666667
2012-08-15,1,1,906,9.99
2012-08-16,1,0,121,9.99
2012-08-20,1,0,1826,4.99
2012-08-21,2,1013946,8817237,3.995
2012-08-22,1,4,239,9.99
2012-08-23,1,551,24310,9.99
2012-08-24,3,129,79675,1.2466666666666668
2012-08-28,2,4,102,5.99
2012-08-29,2,8,9009,4.995
2012-08-30,2,0,12302,4.995
2012-08-31,2,2,3250,4.49
2012-09-03,1,3,76,9.99
2012-09-04,2,0,380,4.49
2012-09-06,1,0,2753,14.99
2012-09-07,3,741,149875,13.323333333333332
2012-09-11,2,1,2422,8.49
2012-09-13,3,4,1840,4.993333333333333
2012-09-14,2,1566,75115,12.49
2012-09-17,2,8564,299385,2.495
2012-09-19,2,9,9038,1.495
2012-09-20,1,268,44341,19.99
2012-09-21,2,1,1644,9.99
2012-09-25,3,6,7598,2.19
2012-09-26,1,443,125598,4.49
2012-09-27,5,11,4010,6.072
2012-09-28,2,9,7125,17.990000000000002
2012-10-02,1,1,151,9.99
2012-10-03,1,1,3675,14.99
2012-10-05,1,0,99,4.99
2012-10-08,2,878,138784,19.99
2012-10-10,1,23,8772,14.99
2012-10-11,5,13,4712,11.99
2012-10-12,2,17281,867794,4.49
2012-10-15,2,118,14499,7.49
2012-10-16,3,42,69971,8.326666666666666
2012-10-17,5,17,8488,8.592
2012-10-18,1,2,1694,0.0
2012-10-22,2,3,2439,1.9400000000000002
2012-10-23,4,409,107729,9.9925
2012-10-24,2,3,627,9.99
2012-10-25,2,36,14485,8.24
2012-10-26,1,20,10515,3.74
2012-10-29,5,46,29943,10.181999999999999
2012-10-30,2,97,16599,9.99
2012-10-31,2,5,6602,19.99
2012-11-01,2,1,1096,5.49
2012-11-02,2,320,116220,5.49
2012-11-06,1,11,2794,1.99
